ED,ED_num,total_pop,pct_white,pct_black,pct_asian,pct_hispanic,median_age,median_income,pct_poverty,pct_bachelors_plus,pct_renter,median_rent,pct_foreign_born,pct_spanish_home,pct_asian_lang_home
34001,1,545.8407619454811,NA,NA,NA,NA,18.505844767270116,54977.99748540915,0,27.80934927227219,26.613449183423278,1246.5612065355429,0,0,0
34002,2,1644.017968847238,2.200303776476207,6.248050537850971,3.1241196424362943,87.82102342787776,33.025284441858616,72242.49726094575,0,11.17868017231881,69.67390757219599,1922.796695730188,0,0,0
34003,3,96.01292419838059,NA,NA,NA,NA,2.9050551079206985,6948.033916616803,0,3.4367431741880803,5.64653462266228,157.33049201274244,0,0,0
34004,4,1159.608788808322,NA,NA,NA,NA,35.37622669604997,81439.06381219666,0,48.018862826079996,81.3030908834343,1886.7842321887288,0,0,0
34005,5,1781.556279951798,NA,NA,NA,NA,36.688453130797775,106184.325480038,0,42.69935343357375,77.13198671501611,2108.330741283977,0,0,0
34006,6,596.9200431488943,79.58088674904735,2.7874221556056997,3.7822846797554996,13.7730143054198,49.4045313850862,115673.84346611904,0,56.947301597697475,56.58234405835636,2158.6678706893226,0,0,0
34007,7,798.812826055085,56.474015626631825,0.537034123433536,9.12065214647686,31.582541837651036,33.0048724992095,103929.36520111466,0,51.51506808967952,79.59192278849022,2287.4643662575536,0,0,0
34008,8,1493.4381208732784,NA,NA,NA,NA,34.23889722486412,84845.6613204193,0,53.06788153041805,70.90857212771793,2221.940647509449,0,0,0
34009,9,875.2477847529103,71.59943007969167,5.718771183147479,8.9276129048648,12.57773434815427,32.692716208097416,139339.4259914711,0,52.35592414343527,65.76710123732876,2508.2764578899323,0,0,0
34010,10,1509.102690555926,1.1650275160771597,0.8992323213852269,6.023693774880866,91.47959083800215,34.91804556634126,83508.614164058,0,8.415312418241383,83.26548840286274,1868.4119987138092,0,0,0
34011,11,1347.2032113781092,1.7786197403397659,7.249189460073972,13.035087189536949,77.93709651555555,37.599839753544,55324.7272724312,0,16.124049288940583,76.00131299622085,1710.4083569529123,0,0,0
34012,12,1258.1096529362035,64.49241954612653,5.354898244308024,10.295192250477559,14.916030081120962,36.21612992085061,99901.21189325728,0,46.83265466454084,70.21746910360652,2082.872835457025,0,0,0
34013,13,1094.4545741071784,63.21776381586417,2.781166019686136,4.41217126645961,26.001650947794392,35.20225970919409,103948.77757567132,0,47.6787832057022,80.42331590369781,2118.4655544592424,0,0,0
34014,14,1575.7816764638767,69.95035313958488,0.11158277813236205,6.315854781626094,19.995086894407315,36.13021994049701,104502.6063494981,0,49.01015770016669,67.83826876400198,2219.5346525708146,0,0,0
34015,15,1501.9542601617632,NA,NA,NA,NA,37.89189190548103,104638.7901512403,0,45.66218538618249,56.20647225614991,2170.066831281662,0,0,0
34016,16,849.8534705349075,75.7691008301163,1.0890708538598368,2.029737341524135,21.11209097449971,41.45501239558137,106121.33668071253,0,46.87496493071973,20.347003556211934,2290.9714586896657,0,0,0
34017,17,1017.8557992797007,NA,NA,NA,NA,37.293810885796155,86892.95698945747,0,51.010323040698054,67.07758642910701,2105.300540795007,0,0,0
34018,18,1567.178874021453,61.42122130454062,1.1937887554522857,7.388287165183624,27.373320063141016,35.5771070663024,81522.87529304082,0,44.21373148008905,85.10300132092237,1860.5966171622902,0,0,0
34019,19,1070.8488914823934,54.49430627110471,3.3347327368891335,11.837180643572406,26.17754493237529,34.821245728182085,77604.10060268905,0,51.04268803893884,94.98392150819163,1952.7424365720822,0,0,0
34020,20,1246.8152428257868,56.2297878013295,2.378820462409235,6.806866803877089,31.927595946866653,36.395969794686934,78219.50877678955,0,39.65328555433447,75.37086586377299,2039.2491228651722,0,0,0
34021,21,2853.0799951050462,6.397319087612703,17.862788289331576,19.13027395439097,55.907486171618004,46.29462711738207,33774.768730243326,0,9.96120194308935,99.99259883451262,521.6586387852541,0,0,0
34022,22,865.9542803725333,7.963222411009537,11.890856899768723,4.343655998257289,74.82323680921479,37.2850769581973,44933.53441598489,0,37.40606493549421,98.12104216517535,935.0720353021244,0,0,0
34023,23,1121.029637444471,41.686520614635256,2.742536714153665,21.156076741198444,31.57508786345501,34.919122585826074,94926.9724179928,0,39.730401698969,79.11796103496101,2057.039027139002,0,0,0
34024,24,932.6702584280931,66.82776309855358,1.94505667244439,13.099260319900777,13.688051230266282,39.78014718470441,101683.76768749063,0,50.337523109287616,71.85715259248104,2129.2091925835707,0,0,0
34025,25,1120.2135350985611,NA,NA,NA,NA,39.859522352173556,93631.48481817661,0,35.194119927481545,30.862886153459208,2360.3240820043184,0,0,0
34026,26,180.40671178612564,NA,NA,NA,NA,6.712764853186016,13255.209754448239,0,6.158026218296836,6.892259312110738,398.138333398701,0,0,0
34027,27,1351.6339491085294,78.82857720802332,4.967697286855124,2.4594804308206544,13.74416806180617,41.519393559396946,67671.83351777548,0,49.479341824404244,59.77036788470449,2066.618052901197,0,0,0
34028,28,2219.8034624534553,1.5729113741000558,0.6741048746143096,12.711083700834061,85.04190005045157,38.28856188426226,55670.637502867736,0,13.730071495859073,96.12236973242864,1701.795535410254,0,0,0
34029,29,1144.9265028603531,14.47001345814584,5.0171506082490716,44.4895605090513,34.996243294388115,48.27843215364255,45540.08476362226,0,23.431624195123465,53.2735415494033,1090.4993796768074,0,0,0
34030,30,1125.3526600912776,NA,NA,NA,NA,41.47237440942118,95884.28552986485,0,25.379833205569316,53.64726129500357,1636.5882754983288,0,0,0
