candidate_name,total_votes,party_lines,parties,election,office,file,is_fusion
Grace Meng,1941,1,Democratic,General Election - 11/08/2022,Representative in Congress,00401800006Queens Representative in Congress 6th Congressional District EDLevel_AD34.csv,FALSE
Thomas J. Zmich,900,3,Republican + Conservative + Medical Freedom,General Election - 11/08/2022,Representative in Congress,00401800006Queens Representative in Congress 6th Congressional District EDLevel_AD34.csv,TRUE
Juan Pagan,218,2,Republican + Conservative,General Election - 11/08/2022,Representative in Congress,00401800007Queens Representative in Congress 7th Congressional District EDLevel_AD34.csv,TRUE
Nydia M. Velazquez,797,2,Democratic + Working Families,General Election - 11/08/2022,Representative in Congress,00401800007Queens Representative in Congress 7th Congressional District EDLevel_AD34.csv,TRUE
Alexandria Ocasio-Cortez,11841,2,Democratic + Working Families,General Election - 11/08/2022,Representative in Congress,00401800014Queens Representative in Congress 14th Congressional District EDLevel_AD34.csv,TRUE
Desi Cuellar,417,1,Conservative,General Election - 11/08/2022,Representative in Congress,00401800014Queens Representative in Congress 14th Congressional District EDLevel_AD34.csv,FALSE
Tina Forte,5802,1,Republican,General Election - 11/08/2022,Representative in Congress,00401800014Queens Representative in Congress 14th Congressional District EDLevel_AD34.csv,FALSE
Grace Meng,336,1,Democratic,General Election 2024 - 11/05/2024,Representative in Congress,00401900006Queens Representative in Congress 6th Congressional District EDLevel_AD34.csv,FALSE
Joseph J. Chou,7,1,TRUTH/TRUTH,General Election 2024 - 11/05/2024,Representative in Congress,00401900006Queens Representative in Congress 6th Congressional District EDLevel_AD34.csv,FALSE
Thomas J. Zmich,291,2,Republican + Conservative,General Election 2024 - 11/05/2024,Representative in Congress,00401900006Queens Representative in Congress 6th Congressional District EDLevel_AD34.csv,TRUE
Bill Kregler,624,2,Republican + Conservative,General Election 2024 - 11/05/2024,Representative in Congress,00401900007Queens Representative in Congress 7th Congressional District EDLevel_AD34.csv,TRUE
Nydia M. Velazquez,1722,2,Democratic + Working Families,General Election 2024 - 11/05/2024,Representative in Congress,00401900007Queens Representative in Congress 7th Congressional District EDLevel_AD34.csv,TRUE
Stefano Forte,1160,2,Republican + Conservative,General Election - 11/08/2022,State Senator,00401900011Queens State Senator 11th Senatorial District EDLevel_AD34.csv,TRUE
Toby Ann Stavisky,1335,2,Democratic + Working Families,General Election - 11/08/2022,State Senator,00401900011Queens State Senator 11th Senatorial District EDLevel_AD34.csv,TRUE
Michael N. Gianaris,6907,2,Democratic + Working Families,General Election - 11/08/2022,State Senator,00401900012Queens State Senator 12th Senatorial District EDLevel_AD34.csv,TRUE
Jessica Ramos,7665,2,Democratic + Working Families,General Election - 11/08/2022,State Senator,00401900013Queens State Senator 13th Senatorial District EDLevel_AD34.csv,TRUE
Alexandria Ocasio-Cortez,21049,2,Democratic + Working Families,General Election 2024 - 11/05/2024,Representative in Congress,00401900014Queens Representative in Congress 14th Congressional District EDLevel_AD34.csv,TRUE
Tina Forte,11999,2,Republican + Conservative,General Election 2024 - 11/05/2024,Representative in Congress,00401900014Queens Representative in Congress 14th Congressional District EDLevel_AD34.csv,TRUE
Kristen S. Gonzalez,542,2,Democratic + Working Families,General Election - 11/08/2022,State Senator,00401900059Queens State Senator 59th Senatorial District EDLevel_AD34.csv,TRUE
Toby Ann Stavisky,1512,2,Democratic + Working Families,General Election 2024 - 11/05/2024,State Senator,00402000011Queens State Senator 11th Senatorial District EDLevel_AD34.csv,TRUE
Yiatin Chu,1119,2,Republican + Conservative,General Election 2024 - 11/05/2024,State Senator,00402000011Queens State Senator 11th Senatorial District EDLevel_AD34.csv,TRUE
Han-Khon To,4024,1,Republican,General Election 2024 - 11/05/2024,State Senator,00402000012Queens State Senator 12th Senatorial District EDLevel_AD34.csv,FALSE
Michael N. Gianaris,10854,2,Democratic + Working Families,General Election 2024 - 11/05/2024,State Senator,00402000012Queens State Senator 12th Senatorial District EDLevel_AD34.csv,TRUE
Jessica Ramos,13374,2,Democratic + Working Families,General Election 2024 - 11/05/2024,State Senator,00402000013Queens State Senator 13th Senatorial District EDLevel_AD34.csv,TRUE
Jessica Gonzalez-Rojas,16451,2,Democratic + Working Families,General Election - 11/08/2022,Member of the Assembly,00402000034Queens Member of the Assembly 34th Assembly District EDLevel_AD34.csv,TRUE
Jessica Gonzalez-Rojas,26635,2,Democratic + Working Families,General Election 2024 - 11/05/2024,Member of the Assembly,00402100034Queens Member of the Assembly 34th Assembly District EDLevel_AD34.csv,TRUE
