Category,Estimate
Population,130864
Median Age,37.8
Gender (Male %),50.9
Gender (Female %),49.1
Race: White %,36.7
Race: Black %,0
Race: Asian %,0
Ethnicity: Hispanic %,2.3
Income < $50k,4.9
$50k–$100k,3.2
$100k–$200k,7.1
>$200k,5.6
HS+ Education %,33.7
Bachelor’s+ %,104902
English Only %,0.7
Other Language %,123326
Speak English <'Very Well' %,30.6
Foreign Born %,50.6
Housing Units,53988
Owner-Occupied %,30.9
Renter-Occupied %,69.1
Vacancy Rate %,12.6
