Category,Estimate
Population,130864
Median Age,37.8
Gender (Male %),50.9
Gender (Female %),49.1
Race: White %,36.7
Race: Black %,0
Race: Asian %,0
Ethnicity: Hispanic %,2.3
HS+ Education %,24.7
Bachelor’s+ %,80.2
English Only %,0.3
Other Language %,94.2
Speak English <'Very Well' %,37741
Foreign Born %,66250
Housing Units,53988
Owner-Occupied %,14590
Renter-Occupied %,32617
Vacancy Rate %,6781
